doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.3632450,cern.zenodo,Zenodo,2020,Text,AFarCloud 1st Year Newsletter,Zenodo,2020-01-31T10:25:23Z,2020-07-23T07:57:22Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,4,,repository
10.23697/b2fb-mx59,snd.hpc,Technology Collaboration Programme on Heat Pumping Technologies,2020,Text,Grid Flexible Control of Heat Pumps,Heat Pump Center,2020-04-22T12:31:05Z,2020-07-23T19:06:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.13140/rg.2.2.33475.84002,rg.rg,ResearchGate,2019,Text,Guide för att ställa cirkularitetskrav i upphandlingsdokument för nybyggnation,RISE Research Institutes of Sweden,2020-06-09T05:23:11Z,2025-10-17T19:54:00Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.13140/rg.2.2.19624.80646,rg.rg,ResearchGate,2020,Text,Modelling Industrial Symbiosis of Biogas Production and Industrial Wastewater Treatment Plants -Technical Report,RISE Research Institutes of Sweden,2020-06-15T07:21:39Z,2025-10-17T20:39:33Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,13,,repository
10.5281/zenodo.3923745,cern.zenodo,Zenodo,2020,Text,New formulation for producing salmon pâté with reduced sodium content,Zenodo,2020-06-30T10:43:29Z,2020-06-30T11:39:11Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.5281/zenodo.3923744,cern.zenodo,Zenodo,2020,Text,New formulation for producing salmon pâté with reduced sodium content,Zenodo,2020-06-30T10:43:30Z,2020-06-30T11:39:13Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.13140/rg.2.2.35146.59841,rg.rg,ResearchGate,2020,Text,A roadmap to develop Integrated Biomass Logistic Centres in Skåne Sweden -Case study grain milling industry,RISE Research Institutes of Sweden,2020-07-14T06:42:51Z,2025-10-17T20:43:10Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.13140/rg.2.2.20047.10408,rg.rg,ResearchGate,2020,Text,"Farmers current practices, and their opinion on supplying straw for production of second-generation biofuels in Sweden",RISE Research Institutes of Sweden,2020-07-14T06:46:44Z,2025-10-18T02:01:55Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.13140/rg.2.2.18462.77128,rg.rg,ResearchGate,2020,Text,Don’t miss the opportunity of joining the world’s movements on digital collaboration,RISE Research Institutes of Sweden,2020-08-02T11:36:43Z,2025-10-17T22:16:13Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.13140/rg.2.2.15107.32809,rg.rg,ResearchGate,2020,Text,Creating value for the transport buyer with Digital Data Streams,RISE Research Institutes of Sweden,2020-08-02T11:41:40Z,2025-10-18T01:18:16Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.13140/rg.2.2.35239.98728,rg.rg,ResearchGate,2020,Text,Smart Ports: On the move to become Global Logistics Information Exchange Hubs Giant First Steps: Data-Powered Operational Gains,RISE Research Institutes of Sweden,2020-08-02T11:45:22Z,2025-10-17T23:47:31Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,18,,repository
10.13140/rg.2.2.17623.91043,rg.rg,ResearchGate,2020,Text,Standardisation in container shipping is key to boosting economies of scale - importance of data collaboration between shipping lines,RISE Research Institutes of Sweden,2020-08-02T11:50:13Z,2025-10-18T00:32:41Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,19,,repository
