doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,clientName,clientType
10.5061/dryad.7h44j0zvn,dryad.dryad,2022,Dataset,Quantitative 3D OPT and LSFM datasets of pancreata from mice with streptozotocin-induced diabetes: Sample data sets,Dryad,0,1,0,1,0,2022-08-30T17:35:23Z,2025-07-23T01:49:22Z,1,1,OPEN,1,4,16,DRYAD,repository
10.57698/v16i2.07,pixn.isfewa,2022,JournalArticle,Design with and by marginalized people in humanitarian makerspaces,International Journal of Design,0,1,0,1,0,2022-08-31T05:34:02Z,2023-04-28T11:01:31Z,1,,,,,9,TU/e Journal,repository
10.5281/zenodo.7053198,cern.zenodo,2022,Other,Towards automated open source assessment - An empirical study,Zenodo,0,1,0,1,0,2022-09-06T08:33:58Z,2022-09-06T08:33:59Z,1,,,,,9,Zenodo,repository
10.5281/zenodo.7053197,cern.zenodo,2022,Other,Towards automated open source assessment - An empirical study,Zenodo,0,1,0,0,0,2022-09-06T08:34:00Z,2022-09-06T08:34:01Z,1,,,,,9,Zenodo,repository
10.5281/zenodo.7066821,cern.zenodo,2022,JournalArticle,Data used in modern code review mapping study and survey,Zenodo,0,1,0,1,0,2022-09-10T12:20:21Z,2022-12-20T18:59:12Z,1,,,,,10,Zenodo,repository
10.5281/zenodo.7066849,cern.zenodo,2022,JournalArticle,Data used in modern code review mapping study and survey,Zenodo,0,1,0,1,0,2022-09-10T12:26:37Z,2022-12-20T18:59:12Z,1,,,,,10,Zenodo,repository
10.5281/zenodo.7071956,cern.zenodo,2022,Dataset,An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach,Zenodo,0,1,0,1,0,2022-09-12T15:40:51Z,2022-09-12T15:40:51Z,1,1,OPEN,,,15,Zenodo,repository
10.5281/zenodo.7071955,cern.zenodo,2022,Dataset,An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach,Zenodo,0,1,0,0,0,2022-09-12T15:40:52Z,2022-09-12T15:40:53Z,1,1,OPEN,,,15,Zenodo,repository
10.5281/zenodo.7157381,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,1,0,2022-10-07T12:35:59Z,2022-10-18T07:38:03Z,1,1,OPEN,16,27,12,Zenodo,repository
10.5281/zenodo.7157380,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,0,1,2022-10-07T12:36:00Z,2022-10-18T07:38:04Z,1,1,OPEN,16,27,12,Zenodo,repository
10.5281/zenodo.7186287,cern.zenodo,2022,Software,CiRA Models,Zenodo,0,1,0,1,0,2022-10-11T15:59:17Z,2022-10-12T06:22:45Z,1,,,,,2,Zenodo,repository
10.5281/zenodo.7186286,cern.zenodo,2022,Software,CiRA Models,Zenodo,0,1,0,0,1,2022-10-11T15:59:18Z,2022-10-12T06:22:45Z,1,,,,,2,Zenodo,repository
