doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5878/1k0w-y785,snd.snd,Swedish National Data Service,2024,Dataset,Digitally mediated sermons during the Covid-19 pandemic in Church of Sweden and Uniting Church in Sweden,University College Stockholm,2024-04-10T08:14:15Z,2025-09-22T09:43:08Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.60878/wnc4-r785,uehr.doris,Enskilda Högskolan Stockholm DORIS,2024,Dataset,Digitally mediated sermons during the Covid-19 pandemic in Church of Sweden and Uniting Church in Sweden,University College Stockholm,2024-04-10T08:14:17Z,2025-09-22T09:53:58Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
